student_id,student_name,course_code,term,credits,has_prerequisites,midterm_score,final_score,assignment_score,total_score,passed,attendance_rate
20260601,Dina Khaled,IS 443,Spring 2024,3,False,26,48,19,93,True,62.82
20260148,Mariam Nagy,HU 122,Spring 2024,3,False,23,37,17,77,True,100.0
20261063,Mia Smith,IS 434,Fall 2023,3,False,22,33,10,65,True,70.26
20260955,Ava Williams,IS 444,Fall 2024,4,False,21,23,9,53,True,89.13
20260249,James Lotfy,IS 360,Fall 2023,2,False,30,40,15,85,True,66.79
20261520,Emma Miller,HU 121,Fall 2024,2,False,25,40,17,82,True,74.12
20261407,Ali Fouad,IS 496,Fall 2023,3,False,10,26,15,51,True,67.47
20261755,Liam Fouad,IS 441,Fall 2024,4,False,23,37,20,80,True,77.78
20262301,Aisha Martinez,CS 251,Fall 2024,2,False,23,35,20,78,True,79.29
20262029,Noah Younis,IS 352,Spring 2024,3,False,15,19,8,42,False,58.48
20260268,Mariam Miller,MA 111,Fall 2024,2,True,25,45,18,88,True,37.99
20260486,Noah Younis,IS 450,Fall 2023,2,False,14,22,15,51,True,59.33
20261063,Mia Smith,IS 241,Fall 2024,3,False,23,27,7,57,True,66.33
20260794,Ali Othman,HU 213,Spring 2024,2,False,30,35,16,81,True,88.95
20260557,Olivia Johnson,IT 241,Spring 2024,2,False,28,43,19,90,True,98.58
20260536,Emma Othman,IS 416,Fall 2024,4,True,22,37,20,79,True,78.68
20260685,Ali Johnson,CS 111,Fall 2024,2,False,22,40,19,81,True,68.17
20260821,Omar Salem,IS 448,Spring 2024,4,True,17,20,8,45,False,74.89
20261328,Liam Jones,IS 313,Fall 2023,4,True,28,43,17,88,True,77.12
20261580,Ava Ali,IT 221,Spring 2024,4,True,21,49,17,87,True,51.22
20260235,Ali Khedr,IS 434,Fall 2024,4,False,19,26,12,57,True,92.65
20260151,Fatma Nagy,IS 415,Spring 2024,3,True,21,42,15,78,True,94.71
20260989,Sarah Younis,IT 423,Fall 2024,3,False,21,32,7,60,True,71.54
